kbjd,flux,ferr
550.586721167, 150317.03125, 10.4198713303
550.607155284, 150267.0625, 10.4197978973
550.627589402, 150276.328125, 10.4197254181
550.648023519, 150239.078125, 10.4196529388
550.668457636, 150251.015625, 10.4195795059
550.688891753, 150245.75, 10.419506073
550.70932587, 150299.859375, 10.4194326401
550.729759986, 150260.796875, 10.4193592072
550.750194103, 150300.453125, 10.4194984436
550.770628218, 150304.234375, 10.4196386337
550.791062434, 150345.921875, 10.4197778702
550.811496449, 150287.3125, 10.4199180603
550.831930565, 150316.703125, 10.4200572968
550.852364779, 150361.078125, 10.4201965332
550.872798794, 150272.0625, 10.4203367233
550.893232908, 150301.234375, 10.4204759598
550.913667122, 150274.703125, 10.4206161499
550.934101136, 150297.6875, 10.4207553864
550.95453525, 150297.234375, 10.4208965302
550.974969463, 150302.515625, 10.4210357666
550.995403476, 150288.625, 10.4211750031
551.015837689, 150241.671875, 10.4213142395
551.036271802, 150310.75, 10.421453476
551.056705914, 150254.5625, 10.4215946198
551.077140026, 150303.34375, 10.4217338562
551.097574138, 150211.734375, 10.4218730927
551.118008249, 150250.015625, 10.4220123291
551.138442361, 150260.84375, 10.4221534729
551.158876472, 150285.5625, 10.4222927094
551.179310582, 150297.3125, 10.4224319458
551.199744693, 150289.96875, 10.4225711823
551.220178803, 150296.578125, 10.422712326
551.240612913, 150237.15625, 10.4226942062
551.261047123, 150319.234375, 10.4226760864
551.281481133, 150267.015625, 10.4226589203
551.301915242, 150305.21875, 10.4226408005
551.322349451, 150260.96875, 10.4226226807
551.34278346, 150265.546875, 10.4226064682
551.363217668, 150272.40625, 10.4225883484
551.383651777, 150258.625, 10.4225702286
551.404085784, 150285.9375, 10.4225530624
551.424519992, 150302.1875, 10.4225349426
551.444954, 150345.5, 10.4225177765
551.465388107, 150302.53125, 10.4225006104
551.485822314, 150354.703125, 10.4224824905
551.506256321, 150310.34375, 10.4224653244
551.526690427, 150224.3125, 10.4224472046
551.547124633, 150238.078125, 10.4224300385
551.567558639, 150214.8125, 10.4224119186
551.587992745, 150253.0625, 10.4223947525
551.608426951, 150227.765625, 10.4223766327
551.628861056, 150251.609375, 10.4223604202
551.649295161, 150228.140625, 10.4223423004
551.669729265, 150234.1875, 10.4223241806
551.69016337, 150264.328125, 10.4223070145
551.710597474, 150285.546875, 10.4222888947
551.731031578, 150284.515625, 10.4223213196
551.751465681, 150314.03125, 10.4223537445
551.771899885, 150316.046875, 10.4223871231
551.792333888, 150243.59375, 10.4224205017
551.812767991, 150248.015625, 10.4224529266
551.833202194, 150270.984375, 10.4224853516
551.853636196, 150247.25, 10.4225177765
